cik,coname,form,file_date,file_name,hlink,rdate,secadate,secatime,accession,type,document,file_size,sequence,description
1000097,"KINGDON CAPITAL MANAGEMENT, L.L.C.",13F-HR,2020-02-14,edgar/data/1000097/0001000097-20-000004.txt,https://www.sec.gov/Archives/edgar/data/1000097/000100009720000004/0001000097-20-000004-index.html,2019-12-31,2020-02-14,13:15:56,0001000097-20-000004,13F-HR,primary_doc.html,,1.0,
1000097,"KINGDON CAPITAL MANAGEMENT, L.L.C.",13F-HR,2020-02-14,edgar/data/1000097/0001000097-20-000004.txt,https://www.sec.gov/Archives/edgar/data/1000097/000100009720000004/0001000097-20-000004-index.html,2019-12-31,2020-02-14,13:15:56,0001000097-20-000004,13F-HR,primary_doc.xml,1938.0,1.0,
1000097,"KINGDON CAPITAL MANAGEMENT, L.L.C.",13F-HR,2020-02-14,edgar/data/1000097/0001000097-20-000004.txt,https://www.sec.gov/Archives/edgar/data/1000097/000100009720000004/0001000097-20-000004-index.html,2019-12-31,2020-02-14,13:15:56,0001000097-20-000004,INFORMATION TABLE,data.html,,2.0,
1000097,"KINGDON CAPITAL MANAGEMENT, L.L.C.",13F-HR,2020-02-14,edgar/data/1000097/0001000097-20-000004.txt,https://www.sec.gov/Archives/edgar/data/1000097/000100009720000004/0001000097-20-000004-index.html,2019-12-31,2020-02-14,13:15:56,0001000097-20-000004,INFORMATION TABLE,data.xml,23110.0,2.0,
1000097,"KINGDON CAPITAL MANAGEMENT, L.L.C.",13F-HR,2020-02-14,edgar/data/1000097/0001000097-20-000004.txt,https://www.sec.gov/Archives/edgar/data/1000097/000100009720000004/0001000097-20-000004-index.html,2019-12-31,2020-02-14,13:15:56,0001000097-20-000004,,0001000097-20-000004.txt,26439.0,,Complete submission text file
1000097,"KINGDON CAPITAL MANAGEMENT, L.L.C.",SC 13G/A,2020-02-10,edgar/data/1000097/0000919574-20-000875.txt,https://www.sec.gov/Archives/edgar/data/1000097/000091957420000875/0000919574-20-000875-index.html,NA,2020-02-10,17:05:22,0000919574-20-000875,SC 13G/A,d8475060_13g-a.htm,102150.0,1.0,
1000097,"KINGDON CAPITAL MANAGEMENT, L.L.C.",SC 13G/A,2020-02-10,edgar/data/1000097/0000919574-20-000875.txt,https://www.sec.gov/Archives/edgar/data/1000097/000091957420000875/0000919574-20-000875-index.html,NA,2020-02-10,17:05:22,0000919574-20-000875,,0000919574-20-000875.txt,103957.0,,Complete submission text file
1000097,"KINGDON CAPITAL MANAGEMENT, L.L.C.",SC 13G/A,2020-02-10,edgar/data/1000097/0000919574-20-000877.txt,https://www.sec.gov/Archives/edgar/data/1000097/000091957420000877/0000919574-20-000877-index.html,NA,2020-02-10,17:07:29,0000919574-20-000877,SC 13G/A,d8475061_13g-a.htm,101989.0,1.0,
1000097,"KINGDON CAPITAL MANAGEMENT, L.L.C.",SC 13G/A,2020-02-10,edgar/data/1000097/0000919574-20-000877.txt,https://www.sec.gov/Archives/edgar/data/1000097/000091957420000877/0000919574-20-000877-index.html,NA,2020-02-10,17:07:29,0000919574-20-000877,,0000919574-20-000877.txt,103760.0,,Complete submission text file
1000097,"KINGDON CAPITAL MANAGEMENT, L.L.C.",SC 13G/A,2020-02-10,edgar/data/1000097/0000919574-20-000879.txt,https://www.sec.gov/Archives/edgar/data/1000097/000091957420000879/0000919574-20-000879-index.html,NA,2020-02-10,17:12:38,0000919574-20-000879,SC 13G/A,d8475063_13g-a.htm,98233.0,1.0,
